InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV5000,SKU209,Gadget D,6,05/01/2024 15:46,32.48,,Canada
INV5001,SKU732,Gadget D,9,07/07/2024 12:16,45.1,,UK
INV5002,SKU752,Gadget D,-4,01/12/2024 13:46,69.51,10002.0,Germany
INV5003,SKU617,Widget B,5,05/22/2024 02:25,47.42,,UK
INV5004,SKU118,Widget B,8,03/07/2024 03:20,41.21,,USA
INV5005,SKU383,Widget C,5,03/02/2024 22:04,30.79,10005.0,USA
INV5006,SKU908,Widget A,7,03/29/2024 22:22,20.69,10006.0,UK
INV5007,SKU691,Gadget D,2,01/05/2024 18:11,98.31,,Canada
INV5008,SKU248,Widget C,7,01/07/2024 19:22,23.44,,Canada
INV5009,SKU807,Widget B,-1,07/18/2024 16:15,34.54,10009.0,USA
